Relatório Meteorológico da Estação: Guaratiba 
 
Dados normalizados para o Horário Brasileiro de Verão (HBV) 
 
Dia Hora HBV Chuva DirVento VelVento Temperatura Pressao Umidade 
 (graus) (Km/h) (celsius) (hPa) (%) 
01/12/2016 00:00:00 HBV 0.0 121 6.0 21.6 1016.0 71 
01/12/2016 00:15:00 HBV 0.0 141 16.2 22.1 1015.9 71 
01/12/2016 00:30:00 HBV 0.0 109 5.3 21.9 1015.8 73 
01/12/2016 00:45:00 HBV 0.0 132 9.5 21.4 1015.8 72 
01/12/2016 01:00:00 HBV 0.0 109 7.1 21.4 1015.5 73 
01/12/2016 01:15:00 HBV 0.0 124 11.3 21.5 1015.3 73 
01/12/2016 01:30:00 HBV 0.0 144 7.8 21.4 1015.0 73 
01/12/2016 01:45:00 HBV 0.0 119 7.1 21.4 1014.8 73 
01/12/2016 02:00:00 HBV 0.0 093 8.1 21.3 1014.6 73 
01/12/2016 02:15:00 HBV 0.0 110 4.9 20.9 1014.3 73 
01/12/2016 02:30:00 HBV 0.0 198 6.4 20.9 1014.3 74 
01/12/2016 02:45:00 HBV 0.0 136 3.2 20.7 1014.3 76 
01/12/2016 03:00:00 HBV 0.0 082 2.8 20.5 1014.1 76 
01/12/2016 03:15:00 HBV 0.0 090 2.1 20.4 1014.1 76 
01/12/2016 03:30:00 HBV 0.0 024 2.5 19.7 1014.1 78 
01/12/2016 03:45:00 HBV 0.0 - 0.0 19.9 1014.1 80 
01/12/2016 04:00:00 HBV 0.0 038 2.5 19.4 1014.1 80 
01/12/2016 04:15:00 HBV 0.0 078 0.7 19.6 1014.1 81 
01/12/2016 04:30:00 HBV 0.0 018 2.1 19.4 1014.1 81 
01/12/2016 04:45:00 HBV 0.0 030 2.8 19.2 1014.1 83 
01/12/2016 05:00:00 HBV 0.0 046 2.5 19.1 1014.3 84 
01/12/2016 05:15:00 HBV 0.0 009 2.5 19.1 1014.3 84 
01/12/2016 05:30:00 HBV 0.0 005 2.8 19.2 1014.3 85 
