Relatório Meteorológico da Estação: Guaratiba

Dados normalizados para o Horário Brasileiro de Verão (HBV)

Dia         Hora      HBV   Chuva  DirVento  VelVento  Temperatura  Pressao  Umidade
                                     (graus)     (m/s)    (celsius)    (hPa)      (%)
01/02/2011  00:00:00  HBV     0.0       358       0.5         24.7   1008.6       90
01/02/2011  00:15:00  HBV     0.0       359       1.5         24.9   1008.8       91
01/02/2011  00:30:00  HBV     0.0       358       1.6         25.1   1008.6       92
01/02/2011  00:45:00  HBV     0.0       041       1.0         25.1   1008.3       92
01/02/2011  01:00:00  HBV     0.0         -       0.0         25.1   1008.1       91
01/02/2011  01:15:00  HBV     0.0       004       1.6         24.9   1007.6       89
01/02/2011  01:30:00  HBV     0.0         -       0.0         25.2   1007.3       87
01/02/2011  01:45:00  HBV     0.0         -       0.0         25.1   1007.1       87
01/02/2011  02:00:00  HBV     0.0         -       0.0         25.1   1006.9       87
01/02/2011  02:15:00  HBV     0.0         -       0.0         25.2   1006.6       87
01/02/2011  02:30:00  HBV     0.0       195       0.9         25.6   1006.4       87
01/02/2011  02:45:00  HBV     0.0       210       2.5         26.0   1006.6       83
01/02/2011  03:00:00  HBV     0.0         -       0.0         25.8   1006.9       82
01/02/2011  03:15:00  HBV     0.0         -       0.0         25.2   1006.6       83
01/02/2011  03:30:00  HBV     0.0         -       0.0         24.9   1006.4       83
01/02/2011  03:45:00  HBV     0.0       057       1.1         25.2   1006.1       82
01/02/2011  04:00:00  HBV     0.0       042       0.3         24.8   1006.4       83
01/02/2011  04:15:00  HBV     0.0       018       1.4         24.9   1006.4       84
01/02/2011  04:30:00  HBV     0.0       014       0.4         24.9   1006.4       83
01/02/2011  04:45:00  HBV     0.0       048       1.3         24.9   1006.1       81
01/02/2011  05:00:00  HBV     0.0         -       0.0         25.2   1006.4       80
01/02/2011  05:15:00  HBV     0.0       020       0.8         25.6   1006.1       77
01/02/2011  05:30:00  HBV     0.0       010       0.5         25.6   1006.4       75
01/02/2011  05:45:00  HBV     0.0       037       0.5         25.4   1006.4       76
01/02/2011  06:00:00  HBV     0.0       046       0.1         25.3   1006.6       78
01/02/2011  06:15:00  HBV     0.0       011       1.3         25.8   1006.6       75
01/02/2011  06:30:00  HBV     0.0       025       2.0         24.9   1006.7       75
01/02/2011  06:45:00  HBV     0.0       044       2.7         25.2   1006.7       74
01/02/2011  07:00:00  HBV     0.0       359       2.6         25.8   1006.9       73
01/02/2011  07:15:00  HBV     0.0       349       0.6         26.2   1006.9       73
01/02/2011  07:30:00  HBV     0.0       014       0.2         26.4   1007.1       73
01/02/2011  07:45:00  HBV     0.0       349       3.0         26.5   1007.3       72
01/02/2011  08:00:00  HBV     0.0       031       1.2         27.1   1007.6       72
01/02/2011  08:15:00  HBV     0.0       046       0.2         28.0   1007.6       69
01/02/2011  08:30:00  HBV     0.0         -       0.0         29.6   1007.6       68
01/02/2011  08:45:00  HBV     0.0       026       1.1         29.2   1008.0       67
01/02/2011  09:00:00  HBV     0.0       355       1.0         29.5   1008.2       66
01/02/2011  09:15:00  HBV     0.0       279       2.5         29.6   1008.2       64
01/02/2011  09:30:00  HBV     0.0       355       0.8         29.5   1008.4       66
01/02/2011  09:45:00  HBV     0.0       003       2.3         31.8   1008.2       58
01/02/2011  10:00:00  HBV     0.0       341       3.7         32.3   1008.2       56
01/02/2011  10:15:00  HBV     0.0       355       1.0         30.8   1008.2       62
01/02/2011  10:30:00  HBV     0.0       354       1.7         31.4   1008.2       60
01/02/2011  10:45:00  HBV     0.0         -       0.0         34.8   1008.2       52
01/02/2011  11:00:00  HBV     0.0       157       1.3         29.6   1008.0       74
01/02/2011  11:15:00  HBV     0.0       149       3.7         29.1   1008.0       78
01/02/2011  11:30:00  HBV     0.0       173       2.5         30.3   1008.0       71
01/02/2011  11:45:00  HBV     0.0       188       2.1         29.0   1008.0       77
01/02/2011  12:00:00  HBV     0.0       183       1.4         29.1   1007.7       78
01/02/2011  12:15:00  HBV     0.0       109       0.7         29.1   1007.7       77
01/02/2011  12:30:00  HBV     0.0       145       2.5         29.3   1007.7       76
01/02/2011  12:45:00  HBV     0.0       162       1.6         29.7   1007.7       73
01/02/2011  13:00:00  HBV     0.0       160       3.5         29.6   1007.7       74
01/02/2011  13:15:00  HBV     0.0       152       2.2         28.5   1007.5       80
01/02/2011  13:30:00  HBV     0.0       153       1.1         27.6   1007.5       82
01/02/2011  13:45:00  HBV     0.0       150       1.8         28.2   1007.2       81
01/02/2011  14:00:00  HBV     0.0       137       1.3         28.7   1007.0       78
01/02/2011  14:15:00  HBV     0.0         -       0.0         29.2   1007.0       77
01/02/2011  14:30:00  HBV     0.0       188       0.8         27.6   1007.0       83
